Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/image,11656,0,1000.0,1359.3031571863457,719.9002809998092,8997.492191999982,46.0,22.10146776941435,0.0,1000,1100,1200,1400,2400,3100,4500,5500,7200,8700,9000
,Aggregated,11656,0,1000.0,1359.3031571863457,719.9002809998092,8997.492191999982,46.0,22.10146776941435,0.0,1000,1100,1200,1400,2400,3100,4500,5500,7200,8700,9000
