Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/image,12651,212,1100.0,1484.304964350877,44.13030900013837,14463.34390300035,45.229151845703896,22.05693679482458,0.36962063081992025,1100,1400,1700,1900,2400,3100,4300,5200,9100,10000,14000
,Aggregated,12651,212,1100.0,1484.304964350877,44.13030900013837,14463.34390300035,45.229151845703896,22.05693679482458,0.36962063081992025,1100,1400,1700,1900,2400,3100,4300,5200,9100,10000,14000
