Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/image,8283,1704,1500.0,2216.050106312697,6.250785999327491,19824.37299600042,36.55957986236871,16.96053117892138,3.4891639658193925,1500,2200,2800,3300,4800,6200,8600,11000,19000,20000,20000
,Aggregated,8283,1704,1500.0,2216.050106312697,6.250785999327491,19824.37299600042,36.55957986236871,16.96053117892138,3.4891639658193925,1500,2200,2800,3300,4800,6200,8600,11000,19000,20000,20000
