Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/image,11355,0,1000.0,1131.9817396806718,743.611159000011,5395.91568000003,46.0,24.586695197186188,0.0,1000,1000,1100,1200,1600,1800,2300,2800,3300,4800,5400
,Aggregated,11355,0,1000.0,1131.9817396806718,743.611159000011,5395.91568000003,46.0,24.586695197186188,0.0,1000,1000,1100,1200,1600,1800,2300,2800,3300,4800,5400
